영어,번역문
protein folding,단백질 접힘
parameter,매개변수
feature space,feature space
generative adverserial network,생성적 적대 신경망
object,객체
register,레지스터
sparse,희소
dense,밀집
decoherence,결깨짐
eigensolver,고윳값해석기
error,오류
repository,저장소
sdk,SDK
subset,부분집합
training,학습
coherence,결맞음
computational basis,계산 기저
clustering,군집화
finance,금융
machine learning,기계 학습
ground state,바닥 상태
excited state,들뜬 상태
ancilla qubit,보조 큐비트
bitstring,비트열
custom,사용자 지정
feature map,feature map
dependency,의존성
binary,이진
tutorial,튜토리얼
method,프로그래밍 용어: 메서드
principle component,주성분
qubit,큐비트
Aer,Aer
Aqua,Aqua
argument,argument
Bloch sphere,블로흐 구
CMake,CMake
Hadamard gate,하다마드 게이트
Ignis,Ignis
mapping,mapping
Qiskit,Qiskit
Terra,Terra
backend,백엔드
Gaussian,가우시안
library,라이브러리
neural network,신경망
noise,노이즈
optimizer,옵티마이저
Python,Python
quantum circuit,양자 회로
random,무작위
search,검색
support vector machine,서포트 벡터 머신
visualize,시각화
VQE,VQE
initialize,초기화
reset,재설정
garbage,가비지
convolutional neural network,합성곱 신경망
constant,상수
bent function,구부러진 함수
hidden shift problem,숨겨진 이동 문제
anticommute,반교환
fault-tolerant,오류허용
clifford gate,클리포드 게이트
quick quiz,막간 퀴즈
quick exercise,막간 연습
application,애플리케이션
accuracy,정확도
analyte,시료
anisotropic,비등방성
attenuated pulse generator,감쇠된 펄스 발생기
beam splitter,빔분할기
Bell,벨
Bernstein-Vazirani algorithm,번스타인-바지라니 알고리듬
binomial distribution,이항분포
Boson,보손
bragg grating reflection,브래그 반사
braiding,꼬기
branching path generator,경로 발생기
canonical variable,정준 변수
cavity,공동
classical bit,고전 비트
classical computer,고전 컴퓨터
classical information,고전 정보
classical system,고전 계
cluster state,클러스터 상태
coherence time,결맞음 시간
coherent state,결맞음 상태
common excess noise,추가적인 잡음
Cooper pair,쿠퍼쌍
Cooper pair box,쿠퍼쌍 상자
Cramér-rao bound,크래머-라오 한계
Cramér-rao inequality,크래머-라오 부등식
Cramér-rao lower bound,크래머-라오 하한
decoding,복호화
decoherence,결어긋남
defect,결함
degree of squeezing,조임 정도
dephasing time,위상 어긋남 시간
digital logic gate,디지털 논리 게이트
